Language,Idealogy,Group,Topic / Concept,Test paragraph,CC hits,% relevance,Keywords,,,,,Exclusions
it,POP,Geopolitics,Peace,,,,la Russia è la|la Russia è una,ancora di pace,,,,-rivista accademica
it,POP,Geopolitics,Power,,,,La Russia sta sfidando gli USA|Putin sta sfidando gli USA|La forza invincibile della Russia,,,,,-rivista accademica
it,POP,Geopolitics,Europe,,,,la russia è il liberatore dell'europa|la russia ha liberato l'europa|l'europa è stata liberata dalla russia|l'unione sovietica ha liberato l'europa|l'unione sovietica è stata il liberatore dell'europa,,,,,-rivista accademica
it,POP,Geopolitics,Statehood,,,,la russia rilancia la statualità|la russia salva la statualità|putin salva la statualità|la russia salva la fratellanza,,,,,-rivista accademica
it,POP,Geopolitics,NATO,,,,la russia bilancia la nato|la nato è bilanciata dalla russia,,,,,-rivista accademica
it,POP,Geopolitics,Victim,,,,geopoliti,occidente,mentire,Russia,,-rivista accademica
it,POP,Geopolitics,Eurasia,,,,far rivivere l'impero eurasiatico|stabilire un impero eurasiatico,,,,,-rivista accademica
it,POP,Geopolitics,Multipolar world,,,,la russia sostiene il multipolarismo|la russia assicura il multipolarismo|la russia ha un ruolo importante|la russia sostiene il policentrismo|la russia protegge il policentrismo,,,,,-rivista accademica
it,POP,Geopolitics,Arsenal,,,,efficacia dell'arma russa|le armi russe sono potenti,,,,,-rivista accademica
it,POP,Geopolitics,Counterweight,,,,Russia,Imperialismo anglosassone|imperialista anglosassone,,,,-rivista accademica
it,POP,Geopolitics,Black sea,,,,la russia domina il mar nero|la russia unico leader nel mar nero|la russia salva il mar nero,,,,,-rivista accademica
it,POP,Geopolitics,Fascism,,,,la russia ha salvato l'europa dal fascismo|la russia ha liberato l'europa dal fascismo,,,,,-rivista accademica
it,POP,Geopolitics,Third World War,,,,la terza guerra mondiale sta per scoppiare|la terza guerra mondiale inizierà,Russia,,,,-rivista accademica
it,POP,Geopolitics,Independence,,,,La Russia è indipendente dall'Occidente|la Russia si è sviluppata indipendentemente dall'Occidente|la Russia non ha bisogno dell'Occidente|la Russia non dipende dall'Occidente,,,,,-rivista accademica
it,POP,Geopolitics,History of Crimea,,,,crimea,ripristino della giustizia storica|la Crimea è russa|la Russia ha riconquistato quel territorio|Khrushchev ha dato la Crimea all'Ucraina quando era ubriaco|la Crimea è sempre stata russa,,,,-rivista accademica
it,POP,Geopolitics,Decline of Crimea,,,,declino della Crimea,Ucraina,,,,-rivista accademica
it,POP,Geopolitics,Oppression of Russians in Crimea,,,,crimea,proteggere la popolazione russa,,,,-rivista accademica
it,POP,Geopolitics,Referendum Crimea,,,,crimea,autodeterminazione,democra,legittimare,,-rivista accademica
it,POP,Geopolitics,Return home of Crimea,,,,la crimea è tornata a casa,,,,,-rivista accademica
it,POP,Geopolitics,Ukraine,,,,la Crimea non è ucraina,,,,,-rivista accademica
it,POP,Geopolitics,Kosovo comparison of Crimea,,,,crimea,come il kosovo,,,,-rivista accademica
it,POP,Geopolitics,Sanctions not needed,,,,Russia,le sanzioni non sono necessarie|le sanzioni sono inutili,,,,-rivista accademica
it,POP,Geopolitics,Sanctions harm west,,,,Le sanzioni danneggiano l'UE|le sanzioni danneggiano gli USA|l'occidente perde dalle sanzioni,russia,,,,-rivista accademica
it,POP,Geopolitics,Sanctions do not impact RU,,,,Le sanzioni non hanno un impatto sulla Russia|le sanzioni non danneggiano la Russia,,,,,-rivista accademica
it,POP,Geopolitics,Remove sanctions,,,,Le sanzioni devono essere rimosse|le sanzioni sono ingiuste|le sanzioni devono essere revocate,russia,,,,-rivista accademica
it,POP,Geopolitics,Sanctions do not work,,,,Le sanzioni non funzionano|le sanzioni sono improduttive|le sanzioni non hanno senso,russia,,,,-rivista accademica
it,POP,Geopolitics,Dialogue needed,,,,Sanzioni,necessità di dialogo|scambio reciproco,Russia,,,-rivista accademica
it,POP,Geopolitics,Sanctions help RU,,,,Le sanzioni rendono la Russia ancora più forte|le sanzioni rendono la Russia più coesa,,,,,-rivista accademica
it,POP,Geopolitics,Balance to west in Middle East,,,,Medio Oriente,la russia bilancia|la russia sostiene il multipolarismo,,,,-rivista accademica
it,POP,Geopolitics,Support Syrian government,,,,Medio Oriente,la russia sostiene|la russia aiuta,governo legittimo|stato sovrano,,,-rivista accademica
it,POP,Geopolitics,Origins of Syrian war,,,,Siria,provocato dall'occidente|provocato dai paesi occidentali,guerra civile,,,-rivista accademica
it,POP,Geopolitics,ISIS,,,,Intervento russo|azione russa|attività russa,combattere l'isis|combattere il terrore islamico|fermare l'isis|fermare il terrore,importante|necessario,,,-rivista accademica
it,POP,Geopolitics,Geopolitical power in Middle east,,,,La Russia ristabilisce l'ordine in Medio Oriente|la Russia ristabilisce l'ordine in Siria|la Russia ha ristabilito l'ordine in Medio Oriente|la Russia ha ristabilito l'ordine in Siria|la Russia è una grande potenza in Medio Oriente|la Russia è una potenza importante in Medio Oriente,,,,,-rivista accademica
it,POP,Geopolitics,Save Christians in Middle East,,,,Siria,la russia protegge i cristiani|la russia salva i cristiani|la russia aiuta i cristiani,,,,-rivista accademica
it,POP,Geopolitics,Stabilisation in Middle East,,,,La Russia stabilizza la Siria|la Russia stabilizza il Medio Oriente|la Russia sostiene la stabilità in Siria|la Russia sostiene la stabilità in Medio Oriente,,,,,-rivista accademica
it,POP,Geopolitics,Migration to Europe,,,,Russia,Ferma la migrazione in Europa|previene la migrazioneverso l'Europa|impedisce la migrazione verso l'Europa,,,,-rivista accademica
it,POP,Elections,Intervention of west,,,,L'Occidente sta interferendo nelle elezioni,,,,,-rivista accademica
it,POP,Elections,Denial of election meddling,,,,Intervento russo|interferenza russa|intromissione russa,non è dimostrato|non è vero|è sbagliato,,,,-rivista accademica
it,POP,Elections,Used to weaken Russia,,,,L'intervento è una finzione,contro la Russia,,,,-rivista accademica
it,POP,Elections,Justification,,,,elezione,La Russia ha il diritto di intervenire|la Russia ha il diritto di intromettersi,,,,-rivista accademica
it,POP,Elections,Western Propaganda,,,,L'intervento è una propaganda|l'intromissione non è vera,dell'occidente,russia,,,-rivista accademica
it,POP,Elections,Western hybrid war,,,,guerra ibrida dell'occidente|guerra ibrida occidentale|guerra ibrida dall'occidente,contro la Russia,,,,-rivista accademica
it,POP,Elections,Russian answer to west,,,,guerra ibrida,La Russia fa quello che fa l'occidente|la Russia si comporta come l'occidente|l'occidente fa lo stesso,,,,-rivista accademica
it,POP,RU Leaders,Popular,,,,Putin è un salvatore|putin è il salvatore|putin è più popolare dei leader occidentali|putin è più popolare degli altri,,,,,-rivista accademica
it,POP,RU Leaders,Revival,,,,Putin farà rivivere la Russia|putin ha fatto rivivere la Russia|putin ha ricostruito la Russia|putin ricostruirà la Russia,,,,,-rivista accademica
it,POP,RU Leaders,Qualities,,,,Putin è il più efficace|putin è il più efficiente,,,,,-rivista accademica
it,POP,RU Leaders,History,,,,Putin è migliore di yeltsin|putin è più forte di yeltsin|putin ha più potere di yeltsin|yeltsin era un agente occidentale,,,,,-rivista accademica
it,POP,RU Leaders,Success,,,,Putin ha salvato la Russia|putin è un leader di successo|putin riporta il successo,,,,,-rivista accademica
it,POP,RU Leaders,Christian values,,,,Putin difende il cristianesimo|putin salva il cristianesimo|putin salva i valori cristiani|putin difende i valori cristiani|putin è il difensore del cristianesimo,,,,,-rivista accademica
it,POP,RU Leaders,Positive attributes,,,,Putin ha ripristinato la legge e l'ordine|la gente ha fiducia in Putin|putin ha fede|putin costruisce una Russia forte,,,,,-rivista accademica
it,POP,RU Leaders,Geopolitics,,,,Putin conosce la geopolitica|putin è potente nel mondo|putin è un leader forte|putin ha saggezza geopolitica,,,,,-rivista accademica
it,POP,RU Leaders,Smart,,,,Putin ha una grande forza|Putin ha una grande determinazione|putin è competente,,,,,-rivista accademica
it,POP,RU Leaders,Strong state,,,,Russia,La mano forte è importante|la mano forte aiuta la Russia|la stabilità è importante per la Russia|putin crea stabilità|la Russia ha bisogno di autorità,,,,-rivista accademica
it,POP,RU Leaders,National,,,,Russia,Putin difende gli interessi nazionali|putin è un patriota,,,,-rivista accademica
pl,POP,Liberal Societies,Homosexuality,,,,liberalny,tolerancyjny,gejropa,,,-Roczniki
pl,POP,Liberal Societies,Perverted Youth,,,,liberalny,zachodnia młodzież,debauchery,perwers,,-Roczniki
pl,POP,Liberal Societies,Fascist Liberalism,,,,neoliberaln faszy,tolerancja,,,,-Roczniki
pl,POP,Liberal Societies,End of Liberalism,,,,liberalism,hamowanie rozwoju|utrudnianie rozwoju|zatrzymywanie rozwoju,matnia|koniec|zatrzym,,,-Roczniki
pl,POP,Liberal Societies,Deficiencies of Liberalism,,,,demokracja liberalna się kończy|demokracja liberalna upadnie|demokracja liberalna jest zła|demokracja liberalna się skończyła|demokracja liberalna nie działa,,,,,-Roczniki
pl,POP,Liberal Societies,Historic Liberalism,,,,liberal,demokra,liberalizm,historia,potęp,-Roczniki
pl,POP,Liberal Societies,Failed Democracy,,,,liberalna demokracja upadła|liberalna demokracja się skończyła|koniec liberalnej demokracji,wyczerpan,,,,-Roczniki
pl,POP,Liberal Societies,Problems of Democracy,,,,liberalna demokracja nie działa|liberalna demokracja zawiodła,nierówno|bezpieczeństwo|sprawiedliwość społeczna|nieefektywność,,,,-Roczniki
pl,POP,Liberal Societies,Weakness of democratic institutions,,,,demokracja liberalna,demonokra| zdegenerowan instytucj|upad instytuc| dezintegr,zach,,,-Roczniki
pl,POP,Liberal Societies,NGO agents,,,,zachodnia demokracja liberalna|zachodnie demokracje liberalne,wpływy zagraniczne|naruszanie suwerenności|wpływy organizacji pozarządowych,,,,-Roczniki
pl,POP,Liberal Societies,NGOs funding,,,,liberalna demokracja|liberalne demokracje,NGO,poszukiwacze grantów|zagranic manipula|zagraniczne wpływy,,,-Roczniki
pl,POP,Liberal Societies,People's needs,,,,liberal,nie uwzględniają potrzeb ludzi|nie uwzględniają potrzeb ludzi|nie uwzględniają potrzeb ludzi|nie biorą pod uwagę potrzeb ludzi,,,,-Roczniki
pl,POP,Liberal Societies,Decline,,,,liberalna demokracja podupada|liberalne demokracje podupadają|liberalne demokracje gniją|liberalna demokracja gnije|liberalna demokracja jest dekadencka|liberalne demokracje dekadenckie,,,,,-Roczniki
pl,POP,Liberal Societies,Moral,,,,liberalna demokracja|liberalne demokracje,jest anty-chrześcijańskie|straty moralne|utrata tożsamości|utrata tożsamości,,,,-Roczniki
pl,POP,Western Leaders,Weakness,,,,zachodni liderzy są słabi|liderzy zachodu są słabi|zachodni liderzy są krótkowzroczni|liderzy zachodu są krótkowzroczni|zachodni liderzy są naiwni|liderzy zachodu są naiwni,,,,,-Roczniki
pl,POP,Western Leaders,Ineffectiveness,,,,zachodni przywódcy są nieskuteczni|zachodni przywódcy są nieskuteczni|zachodni przywódcy ugrzęźli w biurokracji|zachodni przywódcy są niezdecydowani,,,,,-Roczniki
pl,POP,Western Leaders,Corruption,,,,zachodni przywódcy są chciwi|przywódcy zachodu są chciwi|zachodni przywódcy są skorumpowani|przywódcy zachodu są skorumpowani|zachodni przywódcy są wrodzy|przywódcy zachodu są wrodzy|zachodni przywódcy są drapieżni|przywódcy zachodu są drapieżni,,,,,-Roczniki
pl,POP,Western Leaders,Russian control,,,,przywódcy zachodni|przywódcy zachodu,rusofob|wrogowie Rosji|konkurenci Rosji|Putin wygra,,,,-Roczniki
pl,POP,Western Leaders,Anti-national government,,,,zachodni przywódcy zdrad|liderzy zachodu zdrad|zachodnie rządy zdrad|rządy zachodu zdrad,people,,,,-Roczniki
pl,POP,Western Leaders,Anti-national,,,,liberalna demokracja|liberalne demokracje,przywódcy są antynarodowi|przywódcy zdrad,,,,-Roczniki
pl,POP,Western Leaders,Detached from people,,,,zachodni przywódcy są oderwani od rzeczywistości|liderzy zachodu są oderwani od rzeczywistości,lud|naród|narod,,,,-Roczniki
pl,POP,Western Leaders,Homosexuality,,,,przywódcy zachodni|przywódcy zachodu,toler gej|kultura gender|narzuc homoseksualizm,,,,-Roczniki
pl,POP,Western Leaders,Lack of sovereignty,,,,przywódcy zachodni|przywódcy zachodu,Marionetki|są posłuszne|są tylko sługami,,,,-Roczniki
pl,POP,Western Leaders,Directed by others,,,,przywódcy zachodni|przywódcy zachodu,Sorosoidy|zależą od USA|są zależne od USA,,,,-Roczniki
pl,POP,Western Leaders,Double standards,,,,przywódcy zachodni|przywódcy zachodu,Hipokryzja|podwój standar|hipokryci|hipokryzja,,,,-Roczniki
pl,POP,Western Leaders,Against own country,,,,przywódcy zachodni|przywódcy zachodu,wtrącać się w nasze sprawy wewnętrzne|państwo drugiej kategorii,,,,-Roczniki
pl,POP,Institutions of the West,Fascist USA,,,,USA są faszystowskie|faszystowskie USA,globalna dominacja|globalna dominacja,,,,-Roczniki
pl,POP,Institutions of the West,USA exploiting,,,,Stany Zjednoczne wyzyskują|Stany Zjednoczone wyzyskują,wzbogacić się|zrobić pieniądze,,,,-Roczniki
pl,POP,Institutions of the West,USA aggressor,,,,Stany Zjednoczone są agresorem|Stany Zjednoczone są światową policją|Stany Zjednoczone zakłócają spokój|Stany Zjednoczone są imperialne,,,,,-Roczniki
pl,POP,Institutions of the West,USA decline,,,,Potęga Stanów Zjednoczonych maleje|potęga USA maleje|USA jest zawodne|USA nie jest już supermocarstwem,,,,,-Roczniki
pl,POP,Institutions of the West,Putin Trump,,,,Putin i Trump mają porozumienie|Putin dyktuje Trumpowi,,,,,-Roczniki
pl,POP,Institutions of the West,USA politics,,,,Wwaszyngton maszeruje|głębokie państwo Stany Zjednoczone,,,,,-Roczniki
pl,POP,Institutions of the West,Nuclear War,,,,USA chce wojny atomowej|USA chce wojny atomowej|USA dąży do wojny atomowej,,,,,-Roczniki
pl,POP,Institutions of the West,USA democracy,,,,USA narzuca liberalizm|USA narzuca demokrację|USA eksportuje liberalizm|USA narzuca liberalizm|USA narzuca demokrację|USA eksportuje liberalizm,,,,,-Roczniki
pl,POP,Institutions of the West,Degenerating West,,,,USA zdegenerowały się|USA podupadły|USA i Zachód podupadły|USA zdegenerowały się,,,,,-Roczniki
pl,POP,Institutions of the West,EU decline I,,,,Europ,umier,upad,władza,,-Roczniki
pl,POP,Institutions of the West,EU Bureaucracy,,,,Europejscy burokraci nie są wybierani|narzuceni burokraci|Eurokraci nie są wybierani,,,,,-Roczniki
pl,POP,Institutions of the West,EU budget,,,,Europa zabiera tylko pieniądze|EU zabiera tylko pieniądze|EU kosztuje za dużo|Europa kosztuje za dużo|Europa to marnotrawstwo|Europa to marnotrawstwo,,,,,-Roczniki
pl,POP,Institutions of the West,EU extravagance,,,,UE|Europa,prywatne odrzutowce|kawior i szampan,sprzeniewierza|trac,,,-Roczniki
pl,POP,Institutions of the West,EU imposing,,,,Europa narzuca narodom zasady|UE odbiera narodom suwerenność|UE odbiera narodom niepodległość|UE odbiera narodom suwerenność,,,,,-Roczniki
pl,POP,Institutions of the West,EU homosexual,,,,UE jest homoseksualna|UE jest gejem|Gejropa,gej,homoseks,gejro,,-Roczniki
pl,POP,Institutions of the West,EU USA,,,,UE jest kolonią USA|Europa jest kolonią USA|USA skolonizowało Europę,,,,,-Roczniki
pl,POP,Institutions of the West,EU decrease,,,,UE się rozpada|UE będzie się dalej kurczyć|Europa się rozpada,decay,,,,-Roczniki
pl,POP,Institutions of the West,EU Soviet,,,,Europa|UE,związ radziec,sateli,narzuc,oligar,-Roczniki
pl,POP,Institutions of the West,EU project,,,,nie wszystkie kraje korzystają z ue|unia jest porażką,,,,,-Roczniki
pl,POP,Institutions of the West,EU leaders,,,,Europejscy przywódcy są niezdecydowani|Europejscy przywódcy są skorumpowani|przywódcy UE  są niezdecydowani|przywódcy UE są skorumpowani,,,,,-Roczniki
pl,POP,Institutions of the West,EU children,,,,Europa zabiera nasze dziec,,,,,-Roczniki
pl,POP,Institutions of the West,EU crops,,,,Europa niszczy ludzkie uprawy,,,,,-Roczniki
pl,POP,Institutions of the West,EU lifestyle,,,,Europa jest gejem|gejropa|Europa wymusza rowery|Europa rowerzystów i wegetarian,rowerzy,wegetar,gej,,-Roczniki
pl,POP,Institutions of the West,NATO aggressive,,,,NATO jest agresywne|NATO jest agresorem|NATO jest imperialne,,,,,-Roczniki
pl,POP,Institutions of the West,NATO terror,,,,NATO jest organizacją terrorystyczną|globalny terrory NATO,światowa organizacja terrorystyczna,,,,-Roczniki
pl,POP,Institutions of the West,NATO geopolitics,,,,NATO okrąża rosję|nato otacza rosję|nato najeżdża rosję,,,,,-Roczniki
pl,POP,Institutions of the West,NATO arms race,,,,NATO rozpoczęło wyścig zbrojeń|NATO zainicjowało wyścig zbrojeń|NATO popiera wyścig zbrojeń|NATO kto rozpoczął wyścig zbrojeń,,,,,-Roczniki
pl,POP,Institutions of the West,NATO Russia,,,,nato jest antyrosyjskie|rosja jest wrogiem nato,,,,,-Roczniki
pl,POP,Institutions of the West,NATO budget,,,,NATO to marnotrawstwo|NATO marnuje pieniądze|Pieniądze NATO mogłyby być wydane na politykę społeczną|Pieniądze NATO powinny być wydane na politykę społeczną,,,,,-Roczniki
pl,POP,Institutions of the West,NATO colonial power,,,,NATO,imperia,kolon,baz wojsk,,-Roczniki
pl,POP,Institutions of the West,NATO legitimacy,,,,NATO,pyta,dołącz,nikt,,-Roczniki
pl,POP,Institutions of the West,NATO enlargement,,,,zatrzymać rozszerzenie nato|musi wycofać się z nato,,,,,-Roczniki
pl,POP,Institutions of the West,NATO 1989,,,,NATO,kłam,przywódcy,Gorbaczow,,-Roczniki
pl,POP,Geopolitics,Disadvantaged People,,,,rosja pomaga biednym krajom|rosja walczy o sprawiedliwość,,,,,-Roczniki
pl,POP,Geopolitics,New World Order,,,,Rosja|Putin,Przeciwko nowemu porządkowi świata|wielobiegunowy świat jest dobry,Waszyngton|USA|Stany Zjednoczone,,,-Roczniki
pl,POP,Geopolitics,Religion,,,,rosja prowadzi prawosławnych|rosja ratuje chrześcijaństwo | rosja ratuje chrześcijan|rosja prowadzi prawosławnych,,,,,-Roczniki
pl,POP,Geopolitics,Conservatism,,,,Rosja jest ostatnią nadzieją|rusja ratuje|putin jest ostatnią nadzieją|putin ratuje,konserwatyzm|tradycyjne wartości,,,,-Roczniki
pl,POP,Geopolitics,Peace,,,,rosja jest,gwaran pokoj,,,,-Roczniki
pl,POP,Geopolitics,Power,,,,Rosja rzuca wyzwanie USA|putin rzuca wyzwanie USA|niezwyciężona potęga Rosji|niezwyciężona potęga Rosji|Rosja rzuca wyzwanie USA,,,,,-Roczniki
pl,POP,Geopolitics,Europe,,,,rosja jest wyzwolicielem europy|europa została wyzwolona przez rosję|związek radziecki wyzwolił europę|związek radziecki był wyzwolicielem europy,,,,,-Roczniki
pl,POP,Geopolitics,Statehood,,,,rosja odradza państwowość|rosja ratuje państwowość|putin ratuje państwowość|rosja ratuje braterstwo,,,,,-Roczniki
pl,POP,Geopolitics,NATO,,,,rosja równoważy nato|nato jest równoważone przez rosję,,,,,-Roczniki
pl,POP,Geopolitics,Victim,,,,geopoli,Zach,kłam,Rosja,,-Roczniki
pl,POP,Geopolitics,Eurasia,,,,wskrzeszenie imperium euroazjatyckiego|ustanowienie imperium euroazjatyckiego|powołanie imperium euroazjatyckiego,,,,,-Roczniki
pl,POP,Geopolitics,Multipolar world,,,,rosja wspiera wielobiegunow|rosja zapewnia wielobiegunow|rosja ma ważną rolę|rosja chroni wielobiegunow,,,,,-Roczniki
pl,POP,Geopolitics,Arsenal,,,,skuteczność rosyjskiej broni|rosyjska broń jest potężna,,,,,-Roczniki
pl,POP,Geopolitics,Counterweight,,,,Rosja,Imperializm anglosaski|Anglosaski imperializm,,,,-Roczniki
pl,POP,Geopolitics,Black sea,,,,rosja dominuje nad morzem czarnym|rosja jedynym liderem na morzu czarnym|rosja ratuje morze czarne,,,,,-Roczniki
pl,POP,Geopolitics,Fascism,,,,rosja uratowała europę przed faszyzmem|rosja wyzwoliła europę od faszyzmu|rosja uwolniła europę od faszyzmu,,,,,-Roczniki
pl,POP,Geopolitics,Third World War,,,,wybuchnie trzecia wojna światowa|rozpocznie się trzecia wojna światowa|zaraz rozpocznie się trzecia wojna światowa,Russia,,,,-Roczniki
pl,POP,Geopolitics,Independence,,,,Rosja jest niezależna od zachodu|rosja rozwinęła się niezależnie od zachodu|rosja nie potrzebuje zachodu|rosja nie polega na zachodzie|rosja nie potrzebuje zachodu|rosja nie opiera się na zachodzie,,,,,-Roczniki
pl,POP,Geopolitics,History of Crimea,,,,krym,przywrócenie sprawiedliwości historycznej|wszyscy krymianie są rosjanami|rosja odzyskała to terytorium|Chruszczow oddał Krym Ukrainie będąc pijanym|krym zawsze był rosyjski,,,,-Roczniki
pl,POP,Geopolitics,Decline of Crimea,,,,upadek krymu,ukrain,,,,-Roczniki
pl,POP,Geopolitics,Oppression of Russians in Crimea,,,,krym,chronić ludność rosyjską|ochronić ludność rosyjską,,,,-Roczniki
pl,POP,Geopolitics,Referendum Crimea,,,,krym,samookreślenie,demokra,prawomocn|legal|zgodn z prawem,,-Roczniki
pl,POP,Geopolitics,Return home of Crimea,,,,krym wrócił do macierzy,,,,,-Roczniki
pl,POP,Geopolitics,Ukraine,,,,krym to nie ukraina|mieszkańcy krymu to nie ukraińcy,,,,,-Roczniki
pl,POP,Geopolitics,Kosovo comparison of Crimea,,,,krym,jest jak kosovo,,,,-Roczniki
pl,POP,Geopolitics,Sanctions not needed,,,,Rosja,sankcje są niepotrzebne|sankcje są bezużyteczne|sankcje są bez sensu,,,,-Roczniki
pl,POP,Geopolitics,Sanctions harm west,,,,Sankcje szkodzą UE|sankcje szkodzą USA|zachód traci na sankcjach,Rosja,,,,-Roczniki
pl,POP,Geopolitics,Sanctions do not impact RU,,,,Sankcje nie mają wpływu na rosję|sankcje nie szkodzą rosji|sankcje nie szkodzą rosji|sankcje nie mają wpływu na rosję,,,,,-Roczniki
pl,POP,Geopolitics,Remove sanctions,,,,Sankcje muszą zostać zniesione|sankcje są niesprawiedliwe|sankcje muszą zostać usunięte,Rosja,,,,-Roczniki
pl,POP,Geopolitics,Sanctions do not work,,,,Sankcje nie działają|sankcje są nieproduktywne|sankcje są bezsensowne,Rosja,,,,-Roczniki
pl,POP,Geopolitics,Dialogue needed,,,,sankcje,potrzeba dialogu|wspólnej wymiany,Rosja,,,-Roczniki
pl,POP,Geopolitics,Sanctions help RU,,,,Sankcje czynią Rosję jeszcze silniejszą|sankcje czynią Rosję mniej spójną,,,,,-Roczniki
pl,POP,Geopolitics,Balance to west in Middle East,,,,Blisk Wsch,rosja równoważy|rosja wspiera wielobiegunowość,,,,-Roczniki
pl,POP,Geopolitics,Support Syrian government,,,,Blisk Wsch,rosja wspiera|rosja pomaga,prawowity rząd|suweren państw,,,-Roczniki
pl,POP,Geopolitics,Origins of Syrian war,,,,Syria,sprowokow przez zachód|sprowokow przez kraje zachodnie,wojn domow,,,-Roczniki
pl,POP,Geopolitics,ISIS,,,,Interwencja rosyjska|działanie rosyjskie|działanie rosyjskie,walka z isis|walka z islamskim terrorem|stop isis|stop terror,important|needed|necessary,,,-Roczniki
pl,POP,Geopolitics,Geopolitical power in Middle east,,,,,,,,,-Roczniki
pl,POP,Geopolitics,Save Christians in Middle East,,,,Rosja stabilizuje syrię|rosja stabilizuje bliski wschód|rosja wspiera stabilizację w syrii|rosja wspiera stabilizację na bliskim wschodzie,rosja chroni chrześcijan|rosja ratuje chrześcijan|rosja pomaga chrześcijanom,,,,-Roczniki
pl,POP,Geopolitics,Stabilisation in Middle East,,,,Rosja stabilizuje syrię|rosja stabilizuje bliski wschód|rosja wspiera stabilizację w syrii|rosja wspiera stabilizację na bliskim wschodzie,,,,,-Roczniki
pl,POP,Geopolitics,Migration to Europe,,,,Rosja,Zatrzymuje migrację do Europy|zapobiega migracji do Europy|utrudnia migrację do Europy,,,,-Roczniki
pl,POP,Elections,Intervention of west,,,,Zachód ingeruje w wybory,,,,,-Roczniki
pl,POP,Elections,Denial of election meddling,,,,Rosyjska interwencja|rosyjska ingerencja|rosyjskie wtrącanie się,jest nieudowodniona|jest nieprawdziwa|jest błędna,,,,-Roczniki
pl,POP,Elections,Used to weaken Russia,,,,Interwencja jest fikcją,przeciw rosj,,,,-Roczniki
pl,POP,Elections,Justification,,,,election,Rosja ma prawo interweniować|Rosja ma prawo się wtrącać,,,,-Roczniki
pl,POP,Elections,Western Propaganda,,,,Interwencja jest propagandą|mieszanie się nie jest prawdą,zachodu,rosja,,,-Roczniki
pl,POP,Elections,Western hybrid war,,,,wojna hybrydowa prowadzona przez zachód|zachodnia wojna hybrydowa|wojna hybrydowa prowadzona przez zachód,przeciwko rosj,,,,-Roczniki
pl,POP,Elections,Russian answer to west,,,,hybrid war,Rosja robi to co Zachód|Rosja zachowuje się jak Zachód| Zachód robi to samo,,,,-Roczniki
pl,POP,RU Leaders,Popular,,,,Putin jest zbawcą|putin jest jedynym zbawcą|putin jest bardziej popularny niż zachodni przywódcy|putin jest bardziej popularny niż inni,,,,,-Roczniki
pl,POP,RU Leaders,Revival,,,,Putin odbuduje rosję|putin przywrócił świetność rosji|putin odbudował rosję|putin odbuduje rosję,,,,,-Roczniki
pl,POP,RU Leaders,Qualities,,,,Putin jest najbardziej skuteczny,,,,,-Roczniki
pl,POP,RU Leaders,History,,,,Putin jest lepszy niż Jelcyn|putin jest silniejszy niż Jelcyn|putin ma więcej władzy niż Jelcyn|Jelcyn był zachodnim agentem,,,,,-Roczniki
pl,POP,RU Leaders,Success,,,,Putin uratował Rosję|putin jest skutecznym przywódcą|putin przywraca sukces,,,,,-Roczniki
pl,POP,RU Leaders,Christian values,,,,,,,,,-Roczniki
pl,POP,RU Leaders,Positive attributes,,,,Putin ma wielką siłę|Putin ma wielką determinację|Putin jest kompetentny,,,,,-Roczniki
pl,POP,RU Leaders,Geopolitics,,,,Putin zna się na geopolityce|putin jest potężny na świecie|putin jest silnym przywódcą|putin ma geopolityczną mądrość,,,,,-Roczniki
pl,POP,RU Leaders,Smart,,,,Putin ma wielką siłę|Putin jest zdeterminowany|Putin jest kompetentny,,,,,-Roczniki
pl,POP,RU Leaders,Strong state,,,,Rosja,rządy Silnej ręki są ważne|silna ręka pomaga rosji|stabilność jest ważna dla rosji|putina zapewnia stabilność|rosja potrzebuje autorytetu,,,,-Roczniki
pl,POP,RU Leaders,National,,,,Rosja,putin broni interesów narodowych|putin jest patriotą,,,,-Roczniki
hu,POP,Liberal Societies,Homosexuality,,,,liberalis,toleráns,Gayropa,,,-Szakmai Folyóirat
hu,POP,Liberal Societies,Perverted Youth,,,,liberál,nyugati fiatal,kicsapong,perverz,,-Szakmai Folyóirat
hu,POP,Liberal Societies,Fascist Liberalism,,,,neoliberális fasiszta,tolerancia,,,,-Szakmai Folyóirat
hu,POP,Liberal Societies,End of Liberalism,,,,liberalizmus,akadályozza a fejlődést|megakadályozza a fejlődést|megállítja a fejlődést,halott|vége|befejez|megállít,,,-Szakmai Folyóirat
hu,POP,Liberal Societies,Deficiencies of Liberalism,,,,a liberális demokrácia véget ér|a liberális demokrácia össze fog omlani|a liberális demokrácia rossz|a liberális demokrácia véget ért|a liberális demokrácia nem működik,,,,,-Szakmai Folyóirat
hu,POP,Liberal Societies,Historic Liberalism,,,,liberál,demokr,liberalizmus,történelem,elítélt,-Szakmai Folyóirat
hu,POP,Liberal Societies,Failed Democracy,,,,a liberális demokrácia megbukott|a liberális demokrácia véget ért,kimerül,,,,-Szakmai Folyóirat
hu,POP,Liberal Societies,Problems of Democracy,,,,a liberális demokrácia nem működik|a liberális demokrácia megbukott,egyenlőtlenség|biztonság|társadalmi igazságosság|nem hatékony,,,,-Szakmai Folyóirat
hu,POP,Liberal Societies,Weakness of democratic institutions,,,,liberális demokrácia,demonokrácia|degenerált intézmények|elbukott intézmények|felbomlás,nyugati,,,-Szakmai Folyóirat
